Description,Type,location,City,price,bedroom,bathroom,floor_area
Condo Sharing Manila for rent,Condo,Santa Ana, Manila,3450,1,1,23
Great Clean and Safe Studio near DLSU,Apartment,Malate, Manila,13000,1,1,24
"1 Bedroom Apartment for rent in Ermita, Metro Manila",Apartment,Ermita, Manila,25000,1,1,24
"Studio Apartment for Rent in Dapitan, Sampaloc, Manila City",Apartment,Sampaloc, Manila,8000,1,1,25
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,25
Studio type unit for rent in Vito Cruz Manila,Apartment,Santa Cruz, Manila,12000,1,1,25
Condo Bedspace for Rent at Grand Residences España 2,Bedspace,Sampaloc, Manila,5000,1,1,25
"Malate Apartment for Rent Studio Type in Manila 10,500 pesos only",Apartment,Malate, Manila,10500,1,1,25
Condo Bedspace for Rent in Manila near UST Now 5k!! - Open for Agents,Bedspace,Sampaloc, Manila,5000,1,1,25
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,25
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,25
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,25
1 BR. Apartment for Rent near St. Scholastica and DLSU,Apartment,Malate, Manila,12400,1,1,30
Apartment for Rent in Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8500,1,1,30
Studio fully furnished hotel room,Room,Santa Ana, Manila,35000,1,1,30
Studio Type Apartment for rent,Apartment,Santa Ana, Manila,13000,1,1,30
Bedspace for Female in Manila Rivercity Residences,Bedspace,Santa Ana, Manila,2200,1,1,30
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,30
1 BEDROOM FOR RENT,Room,Santa Ana, Manila,10500,1,1,30
1 BR. Apartment for Rent near St. Scho and DLSU,Apartment,Malate, Manila,10500,1,1,30
Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,8000,1,1,30
"Male Bedspace with free wifi for rent in Quiapo, Manila, Metro Manila",Bedspace,Quiapo, Manila,3500,1,1,33
1 bedroom Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,11000,1,1,35
"1 Bedroom Apartment Unit for Rent in Sampaloc, Manila, Metro Manila",Apartment,Sampaloc, Manila,9000,1,1,35
1 bedroom Apartment for Rent Sampaloc Manila Lacson Espana Dapitan UST Maceda,Apartment,Sampaloc, Manila,11000,1,1,35
STORAGE/ Office Space / CLINIC Space for rent ,Office Space,Malate, Manila,27000,1,1,45
"1-BR Apartment Unit (45 sqm) 1 T&B with Pantry near Nagtahan, Manila @ P10K mo.",Apartment,Sampaloc, Manila,10000,1,1,45
Dapitan Lacson Sampaloc Manila Apartment for Rent near UST,Apartment,Sampaloc, Manila,10000,1,1,50
Bedspace near UP Manila and PGH,Bedspace,Paco, Manila,5000,1,1,50
1-Bedroom 60 sqm Apartment in Retiro Sampaloc Manila,Apartment,Sampaloc, Manila,14000,1,1,60
"One Bedroom Apartment for Rent in Malate, Manila, Metro Manila",Apartment,Malate, Manila,28760,1,1,78
1 Bedroom Apartment for Rent in Sampaloc Manila,Apartment,Sampaloc, Manila,15000,1,1,700
"Studio type apartment for rent Sta. Mesa, Manila",Apartment,Santa Mesa, Manila,9000,1,1,0
Bedspace near UBelt and Pureza LRT 2 Station for Rent,Bedspace,Santa Mesa, Manila,3000,1,1,0
Female Bedspace in Victoria De Manila near PCU,Bedspace,Malate, Manila,4800,1,1,0
"Room for Rent at Padre Campa Street, Sampaloc East, Manila, Metro Manila",Room,Sampaloc, Manila,6500,1,1,0
"Studio Type Room for Rent in Sampaloc, Manila",Room,Sampaloc, Manila,22000,1,1,0
Condo Sharing - LF 1 female student housemate at Victoria de Manila,Condo,Malate, Manila,4800,1,1,0
New Condo Unit in Manila for Male Bedspace,Bedspace,Tondo, Manila,4000,1,1,0
Affordable Staff Accommodation Apartment for Rent in Santa Mesa Manila,Apartment,Santa Mesa, Manila,25000,1,1,0
Victoria De Manila - Room for Rent in Malate,Room,Malate, Manila,12000,1,1,0
Female Bedspace for Rent 4800 only near robinson malate,Bedspace,Malate, Manila,4800,1,1,0
room apartment for rent hermosa tondo manila walking distance to lrt abad santos,Apartment,Tondo, Manila,6000,1,1,0
Ladies Bedspace for Rent near Mendiola,Bedspace,Tondo, Manila,3650,1,1,0
"Studio type very near Bambang LRT station, near UST",Apartment,Santa Cruz, Manila,8500,1,1,0
"Lady Bedspace for Rent at Malate, Manila",Bedspace,Malate, Manila,4800,1,1,0
"Female Bedspace for Rent, Manila",Bedspace,Santa Mesa, Manila,3750,1,1,0
"Room For Rent in Sampaloc Manila P3,000",Room,Sampaloc, Manila,3000,1,1,0
"Fully Furnished Room for Rent with Free WiFi in Sampaloc, Manila",Room,Sampaloc, Manila,15000,1,1,0
Female Bedspace for Rent in Malate near Robinson Malate and PGH,Bedspace,Malate, Manila,4800,1,1,0
Bedspace for Rent only 4800 per month in victoria de manila,Bedspace,Malate, Manila,4800,1,1,0
"Bedspace in Casa Regina Ladies Dormitory for Rent, Manila",Bedspace,Sampaloc, Manila,4950,1,1,0
Lady Bedspace for Rent in Manila,Bedspace,Santa Cruz, Manila,3150,1,1,0
Female bedspacer in Manila,Bedspace,Malate, Manila,4800,2,1,8
2BR Condo rent in Manila Rivercity,Condo,Santa Ana, Manila,15000,2,1,30
"Properties for Rent at Lardizabal St., Brgy. Sampaloc, Manila",Properties,Sampaloc, Manila,10000,2,1,30
2br 1br studio for rent sta ana manila with parking,Apartment,Santa Ana, Manila,14500,2,1,40
"Apartment for Rent 630 H. Ventura St., Brgy. 547, Sampaloc, Manila",Apartment,Sampaloc, Manila,7500,2,1,40
"For Rent , Price Per Head Bedroom",Room,Malate, Manila,6500,2,1,40
Apartment Boarding House Mendiola Nagtahan Pureza Santa Mesa,Apartment,Santa Mesa, Manila,9900,2,1,40
"LADIES Bed space Torre Lorenzo for Rent, Room for Rent Manila, Rentals Manila",Room,Malate, Manila,5000,2,1,40
"LADIES Bed space Torre Lorenzo for Rent, Room for Rent Manila, Rentals Manila",Room,Malate, Manila,5000,2,1,40
"Apartment Unit for Lease In 1179 Padre Algue Street Tondo, Manila, Metro Manila",Apartment,Tondo, Manila,17000,2,1,41
2 bedroom Unit for Rent near St Scho and DLSU Taft Vito Cruz,Room,Malate, Manila,13500,2,1,45
"apartment for lease in padre algue street, tondo manila",Apartment,Tondo, Manila,16000,2,1,45
Secured 2-Bedroom Apartment in Peaceful Area of Gagalangin Tondo For Rent,Apartment,Tondo, Manila,10500,2,1,48
2 Bedroom Apartment For Rent in Sampaloc,Apartment,Sampaloc, Manila,16000,2,1,50
2 br apartment near ust manila for rent,Apartment,Sampaloc, Manila,18000,2,1,55
Tejeron santa ana 2 bedroom apartment for rent,Apartment,Santa Ana, Manila,16000,2,1,60
Residential in Binondo for Rent,Residential,Binondo, Manila,25000,2,1,80
For Rent Santa Ana Manila Tejeron 2 Bedroom 80sqm no parking,Room,Santa Ana, Manila,16000,2,1,80
Apartment For Rent (avail anytime) in 2866 E Aurora Blvd Sta Cruz Manila,Apartment,Santa Cruz, Manila,8000,2,1,95
apartment for rent (available on 15-oct-20),Apartment,Santa Cruz, Manila,7500,2,1,95
Sampaloc Room for rent near U-belt area,Room,Sampaloc, Manila,5000,2,1,0
2 BR apartment near UST,Apartment,Sampaloc, Manila,16000,2,1,0
2-Bedroom Apartment for rent,Apartment,Sampaloc, Manila,18000,2,1,0
Bedspace in sta mesa near sm,Bedspace,Santa Mesa, Manila,3000,2,1,0
Bedspace in sta mesa near sm,Bedspace,Santa Mesa, Manila,3000,2,1,0
"3 Bedroom Apartment in Sta. Mesa, Manila",Apartment,Santa Mesa, Manila,29800,3,1,84
Forbes Hall - Professional Dormitory for Employees,Dormitory,Sampaloc, Manila,4000,4,1,15
"Ladies Dormitory/Apartment @ University Belt, San Miguel Manila",Apartment,San Miguel, Manila,3000,1,2,15
"Room For Rent Along Sampaloc, Manila !!! Junior Suite - 25 Sqm (Good For 4 Pax)",Room,Sampaloc, Manila,17800,1,2,25
"Room for Rent w/ 2 Rest Room near at SM Hypermarket, School, Hospital",Room,Santa Mesa, Manila,3500,2,2,20
"Bedspace for rent with Aircon in Paco, Manila, Metro Manila",Bedspace,Paco, Manila,3500,2,2,40
Budget all-Inclusive Ladies Bedspace In U-belt Manila near UST Espana,Bedspace,Sampaloc, Manila,7000,2,2,50
Budget all-Inclusive Ladies Bedspace In U-belt Manila near UST Espana,Bedspace,Sampaloc, Manila,7000,2,2,50
"2 bedroom apartment unit for rent in Ermita, Manila, Metro Manila",Apartment,Ermita, Manila,20000,2,2,60
Bedspace available for Working Ladies in Malate Quirino Train Station,Bedspace,Malate, Manila,3200,2,2,70
Bedspace for Girls Available,Bedspace,Santa Mesa, Manila,5000,2,2,90
"Bedspacer Condo , Small Condo Room , Transient",Bedspace,Malate, Manila,4800,2,2,0
2 rooms for rent at 2100 Simoun Crisostomo Sampaloc Manila,Room,Sampaloc, Manila,4000,2,2,0
Bedspace in Manila (female only),Bedspace,San Andres, Manila,2000,2,2,0
Cozy Bedspace at Isabelle de Hidalgo Condo Quiapo Manila,Bedspace,Quiapo, Manila,4000,3,2,60
Bedspace for Rent Daily/Monthly in Victoria de Manila 1,Bedspace,Malate, Manila,4800,3,2,68
6 Bedspace room in 1239 Unistar Bldg. T. San Luis St. Brgy. 847  Pandacan Manila,Bedspace,Pandacan, Manila,3500,2,3,45
"Apartment for rent in Malate, Manila, Metro Manila",Apartment,Malate, Manila,9000,3,3,40
Male Bedspace Manila near LRT Vito Cruz,Bedspace,Malate, Manila,3000,3,3,120
Dormitory Rooms with 40 Beds,Room,Malate, Manila,180000,3,4,180
"Fully Air conditioned Bedspacer for rent, Quiapo, Manila, Metro Manila",Bedspace,Quiapo, Manila,10000,4,4,74
Ladies Dormitory in manila for rent,Dormitory,Sampaloc, Manila,2500,9,5,100
"Affordable Condo Bedspace in Pedro Gil Manila 3,600 w/ No deosit with Pool and Gym",Bedspace,Paco, Manila,3500,6,6,34
"10 bedrooms  Apartment Building for Rent in Santa Ana, Manila",Apartment,Santa Ana, Manila,3550000,10,6,300
"Lady Bedspace for rent near PUP and EARIST, Santa Mesa, Manila City",Bedspace,Santa Mesa, Manila,2000,9,7,0
Affordable BedSpace near Pureza LRT,Bedspace,Santa Mesa, Manila,3750,12,8,300
"40+ Bedrooms | Bedspace For Rent in Malate, Manila",Bedspace,Malate, Manila,2600,40,20,0
19 regular rooms and 1 big room,Room,Sampaloc, Manila,12000,20,22,0
4 storey building w/ roofdeck for lease,Building,Sampaloc, Manila,300000,23,23,35
"Apartment Building Ermita, Manila For Lease",Apartment,Ermita, Manila,1344000,28,28,1200
For Rent Female Bedspace in Victoria de Manila Fully Furnished 4800 -AC,Bedspace,Malate, Manila,4800,1,0,44
Bedspace Manila near Taft Avenue,Bedspace,Malate, Manila,2400,1,0,0
"For Rent: Bedspace (4 Persons Per Room) in Victoria De Manila, Malate, Manila",Bedspace,Malate, Manila,6000,1,0,0
Room for Rent,Room,Tondo, Manila,7000,1,0,0
Female Bedspace For Rent near Robinsons Malate,Bedspace,Malate, Manila,4800,1,0,0
"For Rent Bedspace in St.Clare Homes Building, Sampaloc Manila",Building,Sampaloc, Manila,5000,1,0,0
Lady Bedspacing Unit La salle Taft For Rent,Condo,Malate, Manila,4000,1,0,0
Bed Space (Lady) Room for Rent Espana Sampaloc Manila,Room,Sampaloc, Manila,3000,1,0,0
"Bedspace/Roomsharing in Blumentritt, Santa Cruz, Manila",Bedspace,Santa Cruz, Manila,3500,1,0,0
Female Bedspace in Malate Manila for rent,Bedspace,Malate, Manila,2000,1,0,0
Urban Deca Homes Manila 2-Bedroom Condo Sharing,Room,Tondo, Manila,12000,2,0,30
"For rent: 3 rooms at E. Quintos St., near Dapitan, Manila",Room,Sampaloc, Manila,8500,3,0,0
6 Room Apartment Unit for rent in Santa Cruz Manila,Apartment,Santa Cruz, Manila,25000,6,0,200
"Condo For Rent at Manila, Metro Manila",Condo,Malate, Manila,2500,10,0,0
"Dormitory / Bedspacer across National University, Sampaloc, Manila near University Be...",Bedspace,Sampaloc, Manila,3000,21,0,0
Safe and Well-maintained Bedspace for male and female,Bedspace,Paco, Manila,3500,28,0,0
Affordable Staff Housing Units for Rent in Sampaloc Manila,Condo,Sampaloc, Manila,4999,100,0,0
"Studio Type Fully Furnished - PHP 7,500 near Ateneo and Riverbanks",Apartment,Barangka, Marikina,7500,1,1,15
Marikina Studios For Rent,Apartment,Barangka, Marikina,8500,1,1,15
For Rent: Room Studio Type with Aircon,Room,Malanday, Marikina,6000,1,1,25
2 Floor Apartment with 1 Bedroom,Apartment,Santo Niño, Marikina,12500,1,1,25
"2 Bedroom Unit for Rent in Rickatelo Homes, Marikina City",Room,Barangka, Marikina,14000,2,1,50
"2 Bedroom Apartment, Marikina City",Apartment,Concepcion Dos, Marikina,12000,2,1,75
Lady Bedspacer and Boarding House,Bedspace,San Roque, Marikina,2000,1,2,40
Apartment Studios for Rent in Alabang Adjacent to Northgate Cyberzone,Apartment,Cupang, Muntinlupa,8500,1,1,17
"Female Condo Bed Space in Sucat, Muntinlupa",Condo,Sucat, Muntinlupa,3300,1,1,20
"For Rent 1BR Apartment near Muntinlupa SM, Lyceum, Hall of Justice, Pepsi, LTO",Apartment,Tunasan, Muntinlupa,6500,1,1,23
"Anuva Residences - Brand New 4 bed-Sharing Unit in Alabang, Muntinlupa",Condo,Cupang, Muntinlupa,18000,1,1,24
Male Bedspace at Campville near Alabang with Free water and wifi,Bedspace,Cupang, Muntinlupa,3500,1,1,25
Studio Condo Apartment for Rent in Alabang near Northgate Filinvest,Apartment,Cupang, Muntinlupa,8500,1,1,25
Studio Condo Apartment for Rent in Alabang near Northgate Filinvest,Apartment,Cupang, Muntinlupa,8500,1,1,25
Cozy Bedspace for male working professionals in Alabang,Bedspace,Sucat, Muntinlupa,3300,1,1,26
1 bedroom villa/apartment for Rent,Apartment,Putatan, Muntinlupa,15000,1,1,26
1 bedroom villa/apartment for Rent,Apartment,Putatan, Muntinlupa,15000,1,1,26
Units of 1 Bedroom Apartments Available For Rent,Apartment,Alabang, Muntinlupa,15000,1,1,34
"Apartment For Rent 1 BR ""45 sqm."" L&B Compound Alabang Muntinlupa City",Apartment,Alabang, Muntinlupa,10000,1,1,45
"Free Dormitory in Alabang, near Northgate & ATC",Dormitory,Ayala Alabang, Muntinlupa,5300,1,1,0
"Condo Sharing at Studio City Tower 2, Muntinlupa",Apartment,Alabang, Muntinlupa,2100,1,1,0
Fully Furnished Apartment in Alabang with Free WIFI for Rent,Apartment,Alabang, Muntinlupa,8000,1,1,0
Condo Bedspace,Bedspace,Sucat, Muntinlupa,3000,1,1,0
Bedspace for rent at Alabang,Bedspace,Alabang, Muntinlupa,1700,1,1,0
Condo Style Aparment for rent,Condo,Tunasan, Muntinlupa,8500,2,1,35
Bare Apartment for rent,Apartment,Tunasan, Muntinlupa,8500,2,1,40
"2 Bedroom apartment for rent in Pamana Residences, Cupang, Muntinlupa",Apartment,Cupang, Muntinlupa,28000,2,1,80
Unfurnished Condo 1- Bedroom Apartment for Rent in Alabang,Apartment,Alabang, Muntinlupa,25000,1,2,75
Female Bedspace for Rent in Alabang,Bedspace,Alabang, Muntinlupa,2500,4,2,0
Rent Dorm Dormitory Boarding House Bedspace near SM Muntinlupa Lyceum of Alabang,Bedspace,Tunasan, Muntinlupa,1700,2,3,0
Lady Bedspace for Rent near Sucat Interchange & Northgate Alabang,Bedspace,Sucat, Muntinlupa,3300,5,3,50
Aspen tower big apartment @Alabang Manila for rent,Apartment,Alabang, Muntinlupa,120000,3,4,200
"For Rent Bedspace Boarding House at Putatan, Muntinlupa",Bedspace,Putatan, Muntinlupa,1300,10,4,500
"For Rent Bedspace Boarding House at Putatan, Muntinlupa",Bedspace,Putatan, Muntinlupa,1300,10,4,500
"22 Bedroom Apartment for rent in Tunasan, Metro Manila",Apartment,Tunasan, Muntinlupa,1700,22,8,240
"Male Bedspace for rent in Alabang, Muntinlupa",Bedspace,Alabang, Muntinlupa,2100,1,0,0
Apartment 10 with 2 Bedrooms,Apartment,Bayanan, Muntinlupa,7500,2,0,0
"2 bedroom Apartment unit for rent in North Bay Blvd. South,Navotas, Metro Manila",Apartment,North Bay Blvd.  South, Navotas,6000,2,1,40
Rustic Designed Fully Furnished Studio Type Loft Room - 5 min away from LRT EDSA,Room,Ventanilla, Pasay,9000,1,1,12
For Rent: One Bed Room apartment near the airport,Apartment,Don Carlos Village, Pasay,13000,1,1,12
"Studio Room for Rent near the Airport, Don Carlos Village, Pasay City",Room,Don Carlos Village, Pasay,9000,1,1,15
Loftify Apartment for Rent in Pasay City,Apartment,Bay City, Pasay,9999,1,1,18
Apartment for Rent CondoStyle in Pasay City near MRT LRT,Apartment,Ventanilla, Pasay,6500,1,1,20
"Studio Type Apartment in San Rafael, Pasay",Apartment,San Rafael, Pasay,6100,1,1,20
"Studio Type Apartment in San Rafael, Pasay",Apartment,San Rafael, Pasay,6100,1,1,20
"Studio Condo Room for Rent near Makati, Pasay",Room,San Rafael, Pasay,20000,1,1,22
"Bare Studio-Type Room For Rent (1-2 pax) - BG Residences 2 - 10,500PHP, Pasay",Room,Villamor Air Base, Pasay,10500,1,1,22
For Rent: Newly Renovated 1 Bedroom Unit in Zamora Pasay,Room,Malibay, Pasay,10000,1,1,23
For Rent 1BR Apartment Along Taft Ave. across Cartimar Pasay City,Apartment,Tramo, Pasay,12000,1,1,23
Newly Renovated 1 Bedroom Unit in Pasay,Room,Libertad, Pasay,10000,1,1,23
Bedspace for Female in Pasay,Bedspace,Pasay Rotonda, Pasay,3600,1,1,24
"3-Bed Dormitory Room for Rent, Pasay City",Room,M. Dela Cruz, Pasay,3699,1,1,24
Bedspace for female,Bedspace,Pasay Rotonda, Pasay,3150,1,1,25
Room for rent 10k in Pasay City near NAIA,Room,Villamor Air Base, Pasay,10000,1,1,28
For Rent Studio Apartment unit at Pasay City [No Parking Space],Apartment,Tramo, Pasay,9000,1,1,28
"For rent Bedspace for Male w/ Free WiFi and Netflix in Malibay, Pasay",Bedspace,Malibay, Pasay,3500,1,1,40
Very Large Convenient 45sqm Studio in Pasay City for rent,Apartment,Malibay, Pasay,14000,1,1,45
Room for rent along Taft Ave.Pasay City,Room,San Rafael, Pasay,5200,1,1,0
For Rent Studio Apartment Unit in Pasay (near MRT LRT EDSA),Apartment,San Roque, Pasay,9000,1,1,0
For Rent: Room (Female only) in Villamor Pasay,Room,Villamor Air Base, Pasay,12000,1,1,0
"Flood-free area Studio Apartment for rent near Makati, Pasay, Metro Manila",Apartment,Libertad, Pasay,8500,1,1,0
2 Bedroom Violeta Court beside Edsa Road,Room,F.B Harisson, Pasay,35000,2,1,30
Two Bedroom Apartment for Rent in Pasay City near Metro-Point station,Apartment,San Roque, Pasay,15000,2,1,38
For Rent Two Bedroom apartment near Metro-point Pasay City,Apartment,San Roque, Pasay,15000,2,1,38
Two bedroom apartment near Metro point Station Pasay City for rent,Apartment,San Roque, Pasay,15000,2,1,38
Two Bedroom Apartment For Rent near Metropoint Station Pasay,Apartment,San Roque, Pasay,15000,2,1,38
For Rent Two Bedroom Apartment in Pasay Accessible TO MRT & LRT,Apartment,San Roque, Pasay,15000,2,1,38
Two Bedroom Apartment For Rent in Pasay City near Metro Point Station,Apartment,San Roque, Pasay,15000,2,1,38
Two Bedroom Apartment For Rent in Pasay City near Metro Point Station,Apartment,San Roque, Pasay,15000,2,1,38
"Two Bedroom Apartment for rent near Metro-Point Station, Pasay",Apartment,San Roque, Pasay,15000,2,1,38
"Two Bedroom Apartment for rent near Metro-Point Station, Pasay",Apartment,San Roque, Pasay,15000,2,1,38
"2 -Bedroom Apartment For Rent, 351 E.Rivera St. Santa Clara",Apartment,Santa Clara, Pasay,17000,2,1,54
Bedspace near Pasay Taft Rotonda - Ladies only,Bedspace,Pasay Rotonda, Pasay,2700,2,1,0
Female Professionals in need of Bedspace free wifi,Bedspace,Edang, Pasay,2300,2,1,0
Room for Rent Pasay City / Buendia Call us Now!,Room,San Isidro, Pasay,6000,2,1,0
"Lady bedspace for Rent in 43 sampaloc street, Pildera II, Pasay City",Bedspace,Pildera II, Pasay,2100,3,1,30
"Room for Rent for Ladies only in NAIA Terminal 3, Pasay City",Room,Maricaban, Pasay,2800,1,2,7
"Male and Female Bedspacer near Mall of Asia, Makati Dfa, Manila",Bedspace,F.B Harisson, Pasay,2200,4,2,60
"Php100,000- 4br - 200m2 - Best price per sqmeter 4 bedroom 3 bath (Pasay City)",Room,MOA, Pasay,100000,4,3,200
Ladies Bedspace with Free WIFI,Bedspace,Edang, Pasay,2300,4,6,50
FB HARRISON PASAY CITY NEAR BUENDIA FOR 150-HEADS COMPOUND,Compound,F.B Harisson, Pasay,800000,15,10,600
Apartment for employee housing in Pasay City,Apartment,Villamor Air Base, Pasay,180000,14,14,500
"5 Storey Staff House for Rent in Malibay, Pasay city",House,Malibay, Pasay,150000,14,15,253
"Staff House for rent near Terminal 1 International Airport, Pasay City",House,Villamor Air Base, Pasay,200000,14,16,500
Malibay Pasay City near EDSA 25-Rooms Staff House Bldg,Room,Malibay, Pasay,600000,25,25,1000
Malibay Pasay City 5-Storey Bldg with 35-Room 3-Parking,Room,Malibay, Pasay,600000,35,35,1300
Staffhouse for Pogo,Staffhouse,San Rafael, Pasay,1000000,40,40,800
Room for Rent for Ladies Only,Room,Juan Sumulong, Pasay,5000,1,0,0
New rooms for rent near domestic airport (Terminal 4),Room,Don Carlos Village, Pasay,8000,6,0,0
16br Staff Apartment Pasay near Terminal 1 International Airport,Apartment,Newport City, Pasay,550000,16,0,0
For Rent Whole Building in Pasay City near Double Dragon/MOA/Aseana City,Building,MOA, Pasay,1200000,90,0,0
"Bedroom For Rent For Females Only at Flexihomes, Rosario, Pasig City",Room,Rosario, Pasig,3000,1,1,5
room for rent 6sqm in pasig brgy rosario,Room,Rosario, Pasig,5000,1,1,6
"Studio unit for rent at Rosario, Pasig City (Free Fiber Fast WiFi) Unit 503",Apartment,Rosario, Pasig,6200,1,1,10
"Studio unit for rent at Rosario, Pasig City (with Fast WiFi) Unit 506",Apartment,Rosario, Pasig,6500,1,1,10
"Studio unit for rent at Rosario, Pasig City (free Fiber fast WiFi) Unit 202",Apartment,Rosario, Pasig,5800,1,1,10
"Studio unit for rent at Rosario, Pasig City (free Fiber fast WiFi) Unit 505",Apartment,Rosario, Pasig,6500,1,1,10
Room Studio Type For Rent,Room,Manggahan, Pasig,5000,1,1,13
Studio in Karangalan Village Pasig for rent,Apartment,Manggahan, Pasig,6000,1,1,14
"For Rent Studio Type at St. Joseph Subdivision, Pasig City",Apartment,Santa Lucia, Pasig,5000,1,1,15
"1 bedroom Apartment for rent in Bagong Ilog, Pasig, Metro Manila",Apartment,Bagong Ilog, Pasig,6000,1,1,15
Room or Studio for rent in Greenpark Pasig nr Eastwood Libis Quezon City Ortigas,Room,Manggahan, Pasig,6500,1,1,16
"Brand New Studio-Type Apartment Unit (Room for Rent) at Maybunga, Pasig City",Apartment,Pinagbuhatan, Pasig,6000,1,1,17
Studio Type Apartment for rent,Apartment,Caniogan, Pasig,6500,1,1,20
Room for rent Pinagbuhatan Pasig,Room,Pinagbuhatan, Pasig,4000,1,1,20
room for rent pingabuhatan pasig,Room,Pinagbuhatan, Pasig,2500,1,1,20
Room For Rent Studio Type De Castro Brgy. Sta Lucia Pasig City,Room,Santa Lucia, Pasig,7000,1,1,20
"Studio Apartment unit for rent in Ciudad Grande2, Ortigas CBD, Pasig",Apartment,Ortigas CBD, Pasig,9000,1,1,20
"Newly-painted Studio Type for Rent near Arcovia Pasig  PHP 7,000",Apartment,Ugong, Pasig,7000,1,1,20
Studio unit in Kapitolyo Pasig For Rent,Apartment,Kapitolyo, Pasig,11000,1,1,21
"Apartment Unit for Rent at Sagad, Pasig City",Apartment,Sagad, Pasig,8500,1,1,22
"Studio Apartment for Rent in Pasig, San Miguel, Employees Village for 5K a month",Apartment,San Miguel, Pasig,5000,1,1,22
Condo Unit For Rent at Amaia Steps Pasig,Condo,San Miguel, Pasig,4000,1,1,23
"Condo Sharing (Upper Bed) - The Pearl Place, Ortigas Center, Pasig City",Condo,San Antonio, Pasig,10000,1,1,24
Shine Residences For Rent Condo Sharing,Condo,Ugong, Pasig,5000,1,1,24
"Condo Sharing (Lower Bed) - The Pearl Place, Ortigas Center, Pasig City",Condo,San Antonio, Pasig,10000,1,1,24
Condo Sharing at The Pearl Place 1 Bed Available (MALE ONLY),Condo,San Antonio, Pasig,8000,1,1,24
"One Bedroom Apartment for Rent in Caniogan, Pasig, Metro Manila",Apartment,Caniogan, Pasig,9700,1,1,25
Studio Apartment for Rent - Caniogan Pasig City,Apartment,Caniogan, Pasig,6500,1,1,25
1 Bedroom Apartment,Apartment,Rosario, Pasig,8600,1,1,26
Apartment near Kapitolyo High,Apartment,Pineda, Pasig,10000,1,1,27
Bed Space for Rent in Condominium Unit near Robinson Forum Mall,Condo,Kapitolyo, Pasig,5600,1,1,30
"apartment for rent 28 east mendoza st., buting pasig city",Apartment,Buting, Pasig,7000,1,1,30
bedspace for ladies wfh set up ok,Bedspace,Manggahan, Pasig,3000,1,1,30
1 Bed Room - 31 sq. m. in JDPM CORBELL PLACE for rent,Room,San Antonio, Pasig,16000,1,1,31
Apartment for rent in Manggahan Pasig,Apartment,Manggahan, Pasig,8000,1,1,35
Ortigas For Rent:Spacious Exclusive Residential Unit in a 4 star Hotel,Residential,San Antonio, Pasig,45000,1,1,41
Bedspace in a Condo Room Sharing All In/Fully Furnished,Bedspace,Manggahan, Pasig,4500,1,1,48
Studio type Room sharing Female Only,Room,Rosario, Pasig,2500,1,1,0
4 Bed Deluxe Co-Living Room For Rent near Bridgetowne IPI in Pasig,Room,Rosario, Pasig,3750,1,1,0
"Lady Bedspace at Mayfield Park Residences for Rent, Pasig",Bedspace,Rosario, Pasig,2100,1,1,0
Studio apartment in 1521 F.Manalo St.Bambang Pasig City,Apartment,Bambang, Pasig,8000,1,1,0
1 Bedroom Space For Rent in Pasig City (Female Only),Room,Maybunga, Pasig,5000,1,1,0
1 Bedroom Apartment for rent in Manggahan Pasig,Apartment,Manggahan, Pasig,7500,1,1,0
8 Bed Co-Living Room For Rent near Bridgetowne IPI in Pasig,Room,Rosario, Pasig,2450,1,1,0
Micro Studio Double For Rent near Bridgetowne IPI in Pasig,Apartment,Rosario, Pasig,8000,1,1,0
Male Bedspace in Pasig,Bedspace,San Nicolas, Pasig,2800,1,1,0
Micro Studio 2 Single near Bridgetowne IPI in Pasig,Apartment,Rosario, Pasig,8000,1,1,0
For Rent Corporate Staff House in Pasig City,House,Rosario, Pasig,15400,1,1,0
6 Bed Standard Room For Rent near Bridgetowne IPI in Pasig,Room,Rosario, Pasig,2750,1,1,0
"Studio Room rent in Kapitolyo, Pasig City",Room,Kapitolyo, Pasig,8000,1,1,0
"Room for Rent in Maybunga, Pasig City, Metro Manila",Room,Maybunga, Pasig,3800,1,1,0
"Bedspace for Females (Upper Bed) in Ortigas CBD, Pasig",Bedspace,Ortigas CBD, Pasig,5000,1,1,0
"Female Bedspace in Catalina Subdivision for Rent, Pasig",Bedspace,Rosario, Pasig,2100,1,1,0
"K1 Teresita Room for Rent in Kapitolyo, Pasig",Room,Kapitolyo, Pasig,8500,1,1,0
"Condo Sharing at Sorrento Oasis, Caniogan, Pasig City",Condo,Rosario, Pasig,2100,2,1,30
